request_id,request_timestamp,origin_lat,origin_lon,destination_lat,destination_lon,trip_requirements,max_ride_factor,earliest_pickup,latest_dropoff,alt_type,alt_score
Weekday_MorningPeak_1200,2025-10-27T07:00:00,10.789822000969403,106.72079858286794,10.7989905,106.7068081,"{""wheelchair_accessible"": false}",1.13,,,,
Weekday_MorningPeak_1173,2025-10-27T07:00:00,10.800774511696307,106.71723305696744,10.789972028734589,106.70930256829531,"{""wheelchair_accessible"": false}",1.66,,,,
Weekday_MorningPeak_0085,2025-10-27T07:00:00,10.794738157143655,106.70420658970004,10.7970171,106.7031929,"{""wheelchair_accessible"": false}",1.19,,,,
Weekday_MorningPeak_0040,2025-10-27T07:00:00,10.790806906836798,106.71050187502826,10.80411918267803,106.69293023819507,"{""wheelchair_accessible"": false}",1.53,,,,
Weekday_MorningPeak_0041,2025-10-27T07:00:00,10.791556866140144,106.72250640199552,10.80411918267803,106.69293023819507,"{""wheelchair_accessible"": false}",1.49,,,,
Weekday_MorningPeak_0818,2025-10-27T07:00:00,10.794738157143655,106.70420658970004,10.80242706760652,106.69478950613572,"{""wheelchair_accessible"": false}",1.57,,,,
Weekday_MorningPeak_1196,2025-10-27T07:00:00,10.816491784260608,106.70133515527664,10.792754444435628,106.70654158638096,"{""wheelchair_accessible"": false}",1.63,,,,
Weekday_MorningPeak_0705,2025-10-27T07:00:00,10.811265242310052,106.71534704475144,10.803236536005556,106.69456383499268,"{""wheelchair_accessible"": false}",1.79,,,,
Weekday_MorningPeak_0816,2025-10-27T07:00:00,10.807339516561369,106.71457319131568,10.805154322350704,106.6955989390231,"{""wheelchair_accessible"": false}",1.65,,,,
Weekday_MorningPeak_0654,2025-10-27T07:00:00,10.793264498854702,106.70567481090842,10.792745310515796,106.70633024937936,"{""wheelchair_accessible"": false}",1.1,,,,
Weekday_MorningPeak_1238,2025-10-27T07:00:00,10.802851620077888,106.72125075488312,10.793578,106.717871,"{""wheelchair_accessible"": false}",1.34,,,,
Weekday_MorningPeak_0575,2025-10-27T07:00:00,10.790752216123964,106.71110747532234,10.8068238,106.7132414,"{""wheelchair_accessible"": false}",1.26,,,,
Weekday_MorningPeak_1248,2025-10-27T07:00:00,10.78911868203861,106.70836211423897,10.7989905,106.7068081,"{""wheelchair_accessible"": false}",1.82,,,,
Weekday_MorningPeak_1255,2025-10-27T07:00:00,10.793104147251396,106.72236723851871,10.80411918267803,106.69293023819507,"{""wheelchair_accessible"": false}",1.2,,,,
Weekday_MorningPeak_1257,2025-10-27T07:00:00,10.792193734502955,106.71252598657124,10.815986312046846,106.70789585768613,"{""wheelchair_accessible"": false}",1.6,,,,
Weekday_MorningPeak_0179,2025-10-27T07:00:00,10.810712895676096,106.70320047771511,10.80240196547712,106.69405251709912,"{""wheelchair_accessible"": false}",1.61,,,,
Weekday_MorningPeak_1282,2025-10-27T07:00:00,10.802851620077888,106.72125075488312,10.804803022205036,106.71790330989178,"{""wheelchair_accessible"": false}",1.61,,,,
Weekday_MorningPeak_0783,2025-10-27T07:00:00,10.793104147251396,106.72236723851871,10.806826291323675,106.71306394051348,"{""wheelchair_accessible"": false}",1.44,,,,
Weekday_MorningPeak_0087,2025-10-27T07:00:00,10.816491784260608,106.70133515527664,10.80242706760652,106.69478950613572,"{""wheelchair_accessible"": false}",1.54,,,,
Weekday_MorningPeak_1406,2025-10-27T07:00:00,10.790990533331636,106.71900940639244,10.8125516,106.70595325,"{""wheelchair_accessible"": false}",1.23,,,,
Weekday_MorningPeak_0094,2025-10-27T07:00:00,10.800774511696307,106.71723305696744,10.796934201751114,106.69222343671058,"{""wheelchair_accessible"": false}",1.45,,,,
Weekday_MorningPeak_0640,2025-10-27T07:00:00,10.803053198236752,106.71409072951874,10.79157882444005,106.71475469810728,"{""wheelchair_accessible"": false}",1.38,,,,
