edge_id,start_node,end_node,distance,speed_limit,one_way,vehicle_restrictions,parking_ban,ban_hours,motor_lanes,mixed_lanes,road_width,sidewalk_status,edge_type,car_pass_prob
0,366367285,366416151,153.66112167897265,60,True,,,,,,,,main_road,0.9637753421349076
1,366367285,366464634,129.89761111303142,50,False,,,,,,,,alley,0.9403153515520162
2,366368194,366386086,92.8759896059378,50,False,,,,,,,,alley,0.8744428251368032
3,366368194,2036083370,219.09414273993966,50,False,,,,,,,,alley,0.9911976490599422
4,366368194,366411631,40.881773643489,50,False,,,,,,,,alley,0.6887688921051967
5,366371975,366450045,66.36934181194735,50,False,,,,,,,,alley,0.795167900791669
6,366371975,366413630,56.98350009386163,50,False,,,,,,,,alley,0.7594027508234685
7,366371975,1497255721,194.16236395452236,50,False,,,,,,,,alley,0.984845055325549
8,366372456,5337055583,30.83047748232176,50,False,,,,,,,,main_road,0.6393956853886673
9,366372456,1497313081,45.71231066323742,50,False,,,,,,,,main_road,0.7111306831157591
10,366372456,366390965,94.97495343282962,50,False,,,,,,,,alley,0.8794367521064157
11,366374786,5764793101,37.143130095264745,50,False,,,,,,,,alley,0.6708283976560975
12,366374786,5764779786,278.3896384239657,50,False,,,,,,,,main_road,0.9976034881715412
13,366376129,366420858,125.17506906599088,60,True,,,,,,,,main_road,0.9341962639200196
14,366376129,7787980711,71.59235260868766,50,False,,,,,,,,main_road,0.8132895797845953
15,366376129,11427848154,7.1607917198050135,50,False,,,,,,,,main_road,0.5127055891579163
16,366377224,2030639313,213.81669634263454,50,False,,,,,,,,alley,0.9901221078686617
17,366377224,6382937493,60.8743641803601,60,True,,,,,,,,main_road,0.7747274336803559
18,366377501,366398102,14.190663531336181,50,False,,,,,,,,main_road,0.5512789949685113
19,366377501,366401243,31.448668423150288,50,False,,,,,,,,main_road,0.6425325397138554
20,366377501,366442473,45.49343997948334,50,False,,,,,,,,alley,0.7101382927438319
21,366378465,2925962353,9.91859399833446,50,False,,,,,,,,main_road,0.5278815335659451
22,366378465,5731653480,264.22356566335867,50,False,,,,,,,,alley,0.99672769929171
23,366378465,366431307,145.5672925867051,50,False,,,,,,,,main_road,0.9570019993957799
24,366381336,2403042655,11.212954300480163,50,False,,,,,,,,alley,0.5349882658999526
25,366381336,1497313052,98.02176212243397,60,True,,,,,,,,main_road,0.8863802109389205
